Name,Buy,Sell,Found Buy Prices,Found Sell Prices
abominable snowman mask,N/A,70.0,N/A,[70]
actual leprechaun hat,N/A,9.0,N/A,[9]
alaskan king crab crown,66.0,2022.4,[66],"[69, 6550, 60, 5850, 65, 64, 66, 67, 7350, 83]"
alpha's shawl,45.0,51.5,[45],"[70, 60, 75, 1]"
altair's hood,295.0,274.69,"[240, 350]","[300, 295, 300, 320, 235, 230, 230, 250, 240, 270, 290, 285, 300, 350, 240, 280, 300, 341, 250, 250, 250, 280, 100, 250, 450, 350, 250, 230, 250]"
angler mask,44.0,46.88,"[40, 50, 40, 50, 40]","[42, 40, 40, 40, 50, 45, 45, 45, 60, 43, 44, 50, 45, 45, 45, 40, 55, 45, 45, 40, 40, 45, 40, 40, 60, 40, 46, 46, 44, 50, 40, 40, 55, 55, 40, 65, 55, 45, 45, 45, 45, 55, 50, 45, 45, 40, 44, 55, 50, 45, 55, 45, 55, 55, 60, 43, 45, 50, 45, 45, 55, 50, 50, 40, 40, 45, 50, 40, 55, 55, 55, 50, 42, 35, 65, 50, 50, 45, 45, 45, 40, 50, 50, 42, 50, 50, 50, 50, 44, 44, 45, 50, 50, 40, 44, 50, 50, 50, 40, 40, 50, 35, 40, 55, 50, 50, 40, 40]"
antler hat,N/A,0.2,N/A,[0.2]
anubis mask,556.67,593.24,"[560, 550, 560]","[600, 620, 630, 590, 590, 620, 600, 580, 610, 610, 610, 590, 570, 650, 630, 575, 600, 620, 590, 600, 580, 575, 580, 585, 575, 650, 590, 560, 580, 610, 590, 630, 560, 560, 580, 560, 590, 590, 600, 595, 595, 600, 590, 585, 550, 590, 550, 550, 600, 590, 580, 630, 580, 610, 604, 604, 600, 575]"
architect's beret,N/A,3.8,N/A,"[2, 4, 10, 2, 1]"
aura antlers,469.14,691.18,"[500, 7, 680, 7, 710, 730, 650]","[630, 740, 750, 680, 670, 735, 730, 730, 695, 710, 745, 745, 735, 750, 740, 730, 600, 560, 740, 650, 740, 700, 605, 740, 730, 750, 730, 605, 720, 575, 750, 740, 750, 595, 730, 715, 670, 680, 600, 710, 560, 760, 590, 700, 600, 740, 740, 600, 650, 620, 665, 820, 720, 730, 755, 760, 760, 700, 735, 725, 700, 700, 745, 720, 740, 690, 700, 590, 710, 560, 750, 570, 560, 680, 720, 735, 725, 725, 740, 740, 720, 690, 750, 700, 650, 630, 740, 745, 745, 730, 740, 660, 660, 565, 600, 570, 680, 565, 560, 720, 576, 750, 710, 660, 710, 710, 575, 660, 700, 720, 715, 715, 740, 700, 720, 750, 750, 610, 735, 685]"
aviator fighter pilot hat,18.0,N/A,[18],N/A
b.o.o. helmet,N/A,0.52,N/A,"[0.03333333333333333, 1]"
baby seal hat,130.0,109.0,[130],"[150, 75, 75, 110, 135]"
backwards ballcap,1.0,1.62,"[1, 1, 1]","[3, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1]"
barbershop quartet hat,N/A,15.14,N/A,"[15, 10, 15, 15, 34, 15, 2]"
baseball cap,410.01,55.37,"[40, 800, 800, 0.04]","[0.03333333333333333, 0.02857142857142857, 0.03333333333333333, 0.04, 0.03333333333333333, 0.05, 800, 0.03333333333333333, 0.05, 0.02, 0.05, 0.04, 30, 0.02857142857142857, 0.05]"
bee hair pin,N/A,N/A,N/A,N/A
beowulf's helm,N/A,51.25,N/A,"[50, 50, 50, 55, 60, 65, 42, 45, 50, 60, 48, 40]"
black beret,0.1,2.17,"[0.06666666666666667, 0.16666666666666666, 0.0625]","[0.14285714285714285, 0.14285714285714285, 0.25, 4, 3, 0.14285714285714285, 0.1111111111111111, 0.2, 0.06666666666666667, 12, 12, 0.16666666666666666, 0.5, 0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.25, 0.16666666666666666, 0.2, 5, 12, 1, 0.3333333333333333, 0.14285714285714285, 0.16666666666666666, 0.16666666666666666, 5, 0.14285714285714285, 0.25, 0.25, 0.14285714285714285, 12, 0.3333333333333333, 0.14285714285714285, 0.14285714285714285, 0.2, 12, 0.1, 6, 6, 0.3333333333333333, 0.5, 0.125, 12, 0.1, 0.1, 0.16666666666666666, 0.125, 0.2, 0.2, 0.1111111111111111, 0.1111111111111111, 5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 12, 0.16666666666666666, 0.14285714285714285, 20, 0.25, 0.25, 0.14285714285714285, 5, 5, 0.14285714285714285, 1, 12, 0.06666666666666667, 0.06666666666666667, 2, 2, 0.2, 0.16666666666666666, 0.14285714285714285, 5, 0.3333333333333333, 0.3333333333333333, 1, 0.14285714285714285, 1, 1, 15, 15, 0.16666666666666666, 0.16666666666666666, 5, 0.2, 1, 0.16666666666666666, 0.16666666666666666, 0.06666666666666667, 0.3333333333333333, 0.1, 0.1, 0.125, 0.1, 0.2, 0.16666666666666666, 0.25, 0.2]"
